                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.98927,                 1.4758,                 1.0721,                0.48226,                0.44843,                0.44338,                0.32736,                 1.0405,                 1.9885,                  1.107,             0.00010849,             0.00010849,             0.00010849
                     35,                0.96988,                 1.4398,                 1.0606,                0.46813,                0.47315,                0.44257,                0.32814,                 1.0375,                  1.979,                 1.1025,             0.00010229,             0.00010229,             0.00010229
                     36,                0.96836,                  1.434,                 1.0607,                0.49958,                0.42245,                0.42737,                0.31892,                 1.0457,                 2.0693,                 1.1052,             9.6091e-05,             9.6091e-05,             9.6091e-05
                     37,                 0.9657,                 1.4139,                 1.0587,                0.49267,                0.42623,                0.43789,                0.32848,                 1.0463,                 1.9819,                 1.1078,             8.9894e-05,             8.9894e-05,             8.9894e-05
                     38,                0.96238,                  1.398,                 1.0577,                0.52572,                0.42029,                 0.4356,                0.32281,                 1.0408,                 1.9888,                 1.1072,             8.3696e-05,             8.3696e-05,             8.3696e-05
                     39,                 0.9466,                 1.3645,                 1.0487,                0.46823,                0.46627,                0.44318,                0.33092,                 1.0309,                 1.9631,                 1.0989,             7.7499e-05,             7.7499e-05,             7.7499e-05
                     40,                0.95426,                 1.3652,                 1.0484,                0.46552,                0.47765,                0.44635,                0.32968,                 1.0459,                 1.9881,                 1.1119,             7.1301e-05,             7.1301e-05,             7.1301e-05
                     41,                0.90908,                 1.3552,                 1.0316,                0.45243,                0.46079,                0.42359,                0.31663,                 1.0452,                 2.0275,                 1.1119,             6.5104e-05,             6.5104e-05,             6.5104e-05
                     42,                0.84651,                 1.1956,                 1.0032,                0.47298,                 0.4489,                0.43671,                0.32848,                 1.0393,                 2.0192,                 1.1088,             5.8907e-05,             5.8907e-05,             5.8907e-05
                     43,                 0.8449,                 1.1651,                 1.0037,                0.48912,                 0.4243,                 0.4292,                 0.3216,                 1.0499,                 2.0453,                 1.1083,             5.2709e-05,             5.2709e-05,             5.2709e-05
                     44,                0.82545,                 1.1332,                 0.9907,                0.46411,                0.47267,                0.43488,                0.32791,                 1.0353,                 2.0486,                 1.1075,             4.6512e-05,             4.6512e-05,             4.6512e-05
                     45,                0.82731,                 1.1158,                0.98605,                0.47645,                0.44001,                0.43293,                0.32238,                 1.0584,                 2.0634,                 1.1148,             4.0314e-05,             4.0314e-05,             4.0314e-05
                     46,                0.82338,                 1.1083,                0.98654,                0.43301,                0.47149,                0.43793,                0.32894,                 1.0428,                  2.049,                 1.1088,             3.4117e-05,             3.4117e-05,             3.4117e-05
                     47,                0.82172,                 1.0938,                0.98683,                0.41812,                 0.4749,                0.43702,                0.32787,                 1.0358,                 2.0469,                 1.1036,              2.792e-05,              2.792e-05,              2.792e-05
                     48,                0.81481,                  1.076,                0.98025,                0.46759,                0.44917,                0.44427,                0.33377,                 1.0291,                 2.0333,                 1.1041,             2.1722e-05,             2.1722e-05,             2.1722e-05
                     49,                0.81078,                 1.0722,                0.97963,                0.46889,                 0.4608,                0.44012,                0.33215,                 1.0315,                 2.0447,                 1.1047,             1.5525e-05,             1.5525e-05,             1.5525e-05
                     50,                0.80362,                 1.0521,                0.98014,                0.42945,                0.46445,                0.44327,                0.33312,                 1.0319,                  2.041,                 1.1044,             9.3274e-06,             9.3274e-06,             9.3274e-06
