                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2322,                 1.9201,                 1.2145,                0.46715,                0.40465,                0.40145,                0.30017,                 1.0537,                 2.1602,                 1.1174,             0.00010849,             0.00010849,             0.00010849
                     35,                  1.221,                 1.8973,                 1.2124,                0.44591,                0.41536,                0.39469,                0.29373,                 1.0783,                 2.2255,                  1.125,             0.00010229,             0.00010229,             0.00010229
                     36,                 1.2282,                 1.8994,                 1.2125,                0.42907,                  0.442,                0.39952,                0.29743,                 1.0588,                 2.1474,                 1.1241,             9.6091e-05,             9.6091e-05,             9.6091e-05
                     37,                 1.2134,                 1.8605,                  1.208,                0.43548,                0.43532,                0.40225,                0.29863,                 1.0539,                 2.1026,                 1.1204,             8.9894e-05,             8.9894e-05,             8.9894e-05
                     38,                 1.2035,                  1.841,                 1.1989,                0.41809,                0.44194,                0.39485,                0.29489,                 1.0648,                 2.1995,                 1.1239,             8.3696e-05,             8.3696e-05,             8.3696e-05
                     39,                 1.1994,                 1.8462,                 1.2016,                0.48017,                0.38265,                0.38793,                0.28896,                 1.0813,                 2.2323,                 1.1324,             7.7499e-05,             7.7499e-05,             7.7499e-05
                     40,                 1.2016,                 1.8515,                 1.2062,                0.43191,                0.45041,                0.40738,                0.30387,                 1.0603,                 2.2274,                 1.1252,             7.1301e-05,             7.1301e-05,             7.1301e-05
                     41,                 1.1822,                 1.8611,                 1.2153,                0.45703,                0.39767,                0.38152,                0.27551,                 1.1273,                 2.1988,                 1.1534,             6.5104e-05,             6.5104e-05,             6.5104e-05
                     42,                 1.1042,                 1.7035,                 1.1699,                0.36311,                0.44428,                0.39451,                 0.2919,                 1.0802,                 2.1871,                 1.1319,             5.8907e-05,             5.8907e-05,             5.8907e-05
                     43,                 1.0765,                 1.6383,                 1.1561,                0.42719,                0.42006,                0.38905,                 0.2882,                 1.0889,                 2.2272,                 1.1326,             5.2709e-05,             5.2709e-05,             5.2709e-05
                     44,                 1.0823,                 1.6262,                 1.1498,                0.42123,                0.41697,                0.38538,                0.28455,                  1.112,                  2.259,                 1.1436,             4.6512e-05,             4.6512e-05,             4.6512e-05
                     45,                 1.0688,                 1.6059,                 1.1468,                0.40937,                0.44308,                0.39229,                0.29292,                 1.0812,                 2.2177,                  1.128,             4.0314e-05,             4.0314e-05,             4.0314e-05
                     46,                 1.0603,                 1.5811,                 1.1419,                0.44882,                0.39936,                0.39229,                0.29089,                 1.0889,                 2.2069,                 1.1337,             3.4117e-05,             3.4117e-05,             3.4117e-05
                     47,                 1.0545,                  1.586,                 1.1338,                0.42515,                 0.4295,                 0.4022,                0.29727,                 1.0849,                 2.1781,                 1.1305,              2.792e-05,              2.792e-05,              2.792e-05
                     48,                 1.0574,                 1.5667,                 1.1375,                0.42839,                0.41879,                0.39912,                0.29604,                 1.0907,                 2.2062,                 1.1346,             2.1722e-05,             2.1722e-05,             2.1722e-05
                     49,                 1.0546,                 1.5491,                 1.1382,                 0.4249,                0.43046,                0.39885,                0.29539,                 1.0977,                  2.214,                 1.1368,             1.5525e-05,             1.5525e-05,             1.5525e-05
                     50,                 1.0543,                 1.5508,                 1.1383,                0.42711,                0.44326,                0.39916,                0.29603,                 1.0892,                  2.207,                 1.1317,             9.3274e-06,             9.3274e-06,             9.3274e-06
